Technique,Example
Initial Access: T1195 Supply Chain Compromise," Mandiant Threat Intelligence assesses with moderate confidence that Russia will conduct additional destructive or disruptive cyber attacks connected to the crisis in Ukraine. Russian cyber attacks almost certainly will focus first on Ukraine, with Western/NATO allies also being possible targets. NATO and Western sanctions and responses likely will heavily influence Russia's perception of high-priority targets for retaliation, and Russian action may be focused against the financial industry, oil and gas sector, and media and entertainment. Organizations making statements condemning Russian aggression and/or supporting Ukraine and organizations taking actions to restrict Russian participation in international commerce, competitions, and events face elevated risk of future reprisal. We assess that Sandworm and UNC2589 are two of the most likely actors to conduct cyber attacks in retaliation, although we judge that all high-profile Russian threat actors will continue or increase cyber espionage to enhance decision advantage against Ukrainian and NATO government targets. "
Initial Access: T1078 Valid Accounts," Mandiant Threat Intelligence mapped out the tactics, techniques, and procedures (TTPs) of Russian threat actors APT28, APT29, Turla, Sandworm, TEMP.Armageddon, TEMP.Isotope, and TEMP.Veles to the MITRE ATT CK framework based on activity observed by FireEye devices, Mandiant Incident Response, Managed Defense, and research. Based on current observations, Turla has demonstrated the broadest portfolio of tactics, followed by APT28, and APT29. We observed Russian state-sponsored actors use many defense evasion tactics as well as command and control (C C), discovery and persistence, though this distribution is likely at least partially influenced by the overall quantity of tactics in each category. "
Initial Access: T1195 Supply Chain Compromise," Mandiant Threat Intelligence mapped out the tactics, techniques, and procedures (TTPs) of Russian threat actors APT28, APT29, Turla, Sandworm, TEMP.Armageddon, TEMP.Isotope, and TEMP.Veles to the MITRE ATT CK framework based on activity observed by FireEye devices, Mandiant Incident Response, Managed Defense, and research. Based on current observations, Turla has demonstrated the broadest portfolio of tactics, followed by APT28, and APT29. We observed Russian state-sponsored actors use many defense evasion tactics as well as command and control (C C), discovery and persistence, though this distribution is likely at least partially influenced by the overall quantity of tactics in each category. "
Initial Access: T1190 Exploit Public-Facing Application," Mandiant Threat Intelligence assesses with high confidence that the Russian Federation directs a series of sophisticated, long-standing cyber espionage programs that conduct threat activity and information operations globally against targets of interest to the Russian state. We have lower confidence in our attribution of some named groups to specific Russian security services due to Mandiant's lack of technical evidence associating many of these actor sets to their respective organizations. However, we draw on a wide body of open-source reporting on the mission mandates of Russian intelligence services and government attributions of specific actors to link threat groups we track to their likely sponsors. Attribution is a critical component of cyber threat intelligence because it provides insight into actor intent and helps analysts characterize current activity, anticipate future threats, and provide risk assessments to inform defensive strategies and resource allocation. We assess with high confidence that Russian-sponsored cyber threat groups represent an acute threat to governments, media and civil society organizations, and industrial control systems (ICS) in Eastern and Western Europe and North America. "
Initial Access: T1195 Supply Chain Compromise," MITRE's Adversarial Tactics, Techniques, and Common Knowledge (ATT CK) is a knowledge base and model for cyber adversary behavior. The ATT CK framework is divided into 12 tactics: initial access, execution, persistence, privilege escalation, defense evasion, credential access, discover, lateral movement, collection, exfiltration, impact, and command and control. Attackers can use various techniques to achieve each of these goals and ultimately enable successful operations. This report identifies the ATT CK categories Mandiant has seen being used by TEMP.Isotope across FireEye Devices, Mandiant Services, and research. "
Initial Access: T1195 Supply Chain Compromise," The number of zero-days exploited as of July 2021 is on track to more than double the previous record volume from 2019 and has already surpassed all previous years on record. State-sponsored groups continue to be the primary actors exploiting zero-day vulnerabilities, although the proportion of financially motivated actors deploying zero-day exploits has grown significantly since 2019. Microsoft's Exchange and Windows Server software, Apple's iOS, and Google's Chrome browser had the highest volume of zero-days exploited by threat actors, likely reflecting the popularity of these products. The vast increase in zero-day exploitation in 2021, as well as the diversification in motives and actors using them, expands the risk portfolio for organizations in nearly every industry sector and geography, particularly those that rely on these popular systems. "
Initial Access: T1190 Exploit Public-Facing Application," FireEye Intelligence assesses with high confidence that the cyber espionage threat to national governments is severe. Nation-state threat actors frequently target other governments to gain access to political, diplomatic, economic, and military intelligence. We assess with moderate confidence that the information operations threat to national governments is high. Nation-states increasingly engage in information operations meant to affect government policies, influence national elections, and undermine public confidence in national institutions. FireEye Intelligence judges that hacktivism typically presents a frequent but limited impact threat to well-patched national government systems. However, prominent government websites have been successfully targeted by hacktivists in recent years. We assess with moderate confidence that financially motivated activity presents a moderate threat to well-patched national government systems as criminal actors commonly target vulnerable government databases to gain access to personally identifiable information (PII). "
Initial Access: T1078 Valid Accounts," FireEye Intelligence assesses with high confidence that the cyber espionage threat to national governments is severe. Nation-state threat actors frequently target other governments to gain access to political, diplomatic, economic, and military intelligence. We assess with moderate confidence that the information operations threat to national governments is high. Nation-states increasingly engage in information operations meant to affect government policies, influence national elections, and undermine public confidence in national institutions. FireEye Intelligence judges that hacktivism typically presents a frequent but limited impact threat to well-patched national government systems. However, prominent government websites have been successfully targeted by hacktivists in recent years. We assess with moderate confidence that financially motivated activity presents a moderate threat to well-patched national government systems as criminal actors commonly target vulnerable government databases to gain access to personally identifiable information (PII). "
Initial Access: T1195 Supply Chain Compromise," FireEye Intelligence assesses with high confidence that the cyber espionage threat to national governments is severe. Nation-state threat actors frequently target other governments to gain access to political, diplomatic, economic, and military intelligence. We assess with moderate confidence that the information operations threat to national governments is high. Nation-states increasingly engage in information operations meant to affect government policies, influence national elections, and undermine public confidence in national institutions. FireEye Intelligence judges that hacktivism typically presents a frequent but limited impact threat to well-patched national government systems. However, prominent government websites have been successfully targeted by hacktivists in recent years. We assess with moderate confidence that financially motivated activity presents a moderate threat to well-patched national government systems as criminal actors commonly target vulnerable government databases to gain access to personally identifiable information (PII). "
Initial Access: T1078 Valid Accounts," FireEye Intelligence assesses with high confidence that the cyber espionage threat to national governments is severe. Nation-state threat actors frequently target other governments to gain access to political, diplomatic, economic, and military intelligence. We assess with moderate confidence that the information operations threat to national governments is high. Nation-states increasingly engage in information operations meant to affect government policies, influence national elections, and undermine public confidence in national institutions. FireEye Intelligence judges that hacktivism typically presents a frequent but limited impact threat to well-patched national government systems. However, prominent government websites have been successfully targeted by hacktivists in recent years. We assess with moderate confidence that financially motivated activity presents a moderate threat to well-patched national government systems as criminal actors commonly target vulnerable government databases to gain access to personally identifiable information (PII). "
