Reports,TTP,Actor
" Mandiant Threat Intelligence assesses with moderate confidence that Russia will conduct additional destructive or disruptive cyber attacks connected to the crisis in Ukraine. Russian cyber attacks almost certainly will focus first on Ukraine, with Western/NATO allies also being possible targets. NATO and Western sanctions and responses likely will heavily influence Russia's perception of high-priority targets for retaliation, and Russian action may be focused against the financial industry, oil and gas sector, and media and entertainment. Organizations making statements condemning Russian aggression and/or supporting Ukraine and organizations taking actions to restrict Russian participation in international commerce, competitions, and events face elevated risk of future reprisal. We assess that Sandworm and UNC2589 are two of the most likely actors to conduct cyber attacks in retaliation, although we judge that all high-profile Russian threat actors will continue or increase cyber espionage to enhance decision advantage against Ukrainian and NATO government targets. ","['Malware Propagation and Deployment', 'Doxing', 'Defacement', 'Hardware_Supply Chain Compromise', 'Distributed Denial-of-Service (DDoS) Attack']",TEMP.Isotope
" The cyber espionage threat to the manufacturing industry is very high. Cyber espionage activity targeting the manufacturing industry may target proprietary business data and valuable intellectual property, executive communications, and business plans to benefit domestic competitors, or it could serve as reconnaissance for a disruptive attack. The cyber crime threat to the sector is medium. The industry is not heavily targeted by cyber criminals. However, widespread, indiscriminate malware campaigns, such as ransomware and credential theft, can still affect company networks; phishing and exploit kits are common infection vectors. Although the possibility of being targeted by ransomware is not high, once infected, the impact for the company can be severe. The hacktivist threat to companies in the manufacturing industry is low. While several hacktivist groups have conducted campaigns that tangentially target the sector, they lacked significant impact. The manufacturing industry's increasing adoption of industrial control system (ICS) equipment, combined with attackers' increasing capabilities against ICS, will increase the long-term risk to the manufacturing industry. ",['No ttp provided'],TEMP.Isotope
" As of December 2017, FireEye iSIGHT Intelligence tracks 30 threat groups that have targeted organizations from the energy sector on at least one occasion. Most of these groups have performed data theft and network reconnaissance with financial or political motives. The following reference document provides a brief overview of these actors. ","['Malware Propagation and Deployment', 'Network Reconnaissance', 'Hardware/Supply Chain Compromise', 'Enabling Infrastructures', 'Monetization and Laundering']",TEMP.Isotope
" Possible Russia-nexus Sandworm Team targeting of the Winter Olympics signals a potential new targeting trend for an actor that, to date, has predominantly conducted destructive operations in Ukraine. Targeting outside of Ukraine by Sandworm Team may indicate a greater willingness to conduct direct, destructive cyber operations against other national governments and energy, financial, transportation, and media sector entities that act contrary to Russia's core interests. Potential cooperation between Sandworm Team and a separately tracked actor, TEMP.Isotope, constitutes a low probability, high-impact strategic threat. ","['Malware Propagation and Deployment', 'Network Reconnaissance', 'Hardware/Supply Chain Compromise', 'Malware Research and Development']",TEMP.Isotope
" Given the continued escalations in geopolitical tensions between Russia and Ukraine, Mandiant Threat Intelligence recommends critical infrastructure operators remain vigilant in monitoring for malicious activity within their systems and networks. This report summarizes Russia-nexus threat groups that have historically targeted critical infrastructure and contains links to related reporting and activity for critical infrastructure operators to review. ","['Malware Propagation and Deployment', 'Network Reconnaissance']",TEMP.Isotope
" This is the first in a series of reports examining the opportunities and security challenges of four disruptive information technology (IT) innovations that impact operational technology (OT) environments. This report focuses on machine learning. Machine learning provides organizations with a way to quickly process data from multiple sources to determine the future demands of consumers and internal assets, allowing entities to optimize management operations and resource allocation. Weaknesses inherent to machine learning techniques pose a risk to industrial control systems (ICS) leveraging the technology, which could result in physical damage and financial loss. ",['No ttp provided'],TEMP.Isotope
" By the end of 2021, Mandiant identified more zero-days exploited in the wild than double the previous record volume in 2019. Led by Chinese groups, state-sponsored groups continue to be the primary actors exploiting zero-day vulnerabilities. The proportion of financially motivated actors, particularly ransomware groups, deploying zero-day exploits has been steadily increasing since 2013. Threat actors exploited zero-days in Microsoft, Apple, and Google products most frequently, likely reflecting the popularity of these vendors. The vast increase in zero-day exploitation in 2021, as well as the diversification of actors using them, expands the risk portfolio for organizations in nearly every industry sector and geography, particularly those that rely on these popular systems. ",['Exploit Development'],TEMP.Isotope
" On July 13, 2019, an alleged hacktivist called 0V1ru$ ( @0v1ruS ) claimed to have compromised Russian company SyTech, a suspected Russian Federal Security Service (FSB) contractor, sharing purportedly stolen data online. We assess with moderate confidence that the leaked materials are legitimate. We suggest that the leaked documents provide valuable insight into Russian government signals intelligence (SIGINT) and cyber espionage capabilities as well as the extent of integration between government organizations and private contractors. The projects described suggest well-resourced efforts to collect intelligence and perform reconnaissance for future cyber espionage and information operations. Cyber espionage actors believed to be associated with the FSB and potentially supported by these programs include APT29, Turla, and TEMP.Isotope. ","['Communications', 'Enabling Infrastructures', 'Exploit Development']",TEMP.Isotope
" Mandiant Threat Intelligence is monitoring the escalating tension between Ukraine and Russia and looking for reflections of increased cyber threat activity from Russian state-sponsored actors as a result. Sandworm probably poses the greatest and most likely threat to Ukraine, based on its historical cyber attacks on Ukraine and its apparent mandate for disruptive and destructive operations. Sandworm is sponsored by Russian military intelligence and would almost certainly support Russian military operations in Ukraine in some capacity. We may also see an uptick in cyber espionage operations from APT28, also sponsored by Russian military intelligence, or TEMP.Armageddon and TEMP.Vermin actors whose previous targeting since inception is near exclusively against Ukrainian government targets. TEMP.Isotope has regularly targeted Ukrainian government and energy entities in the past, but it likely poses a lower threat than the previous groups in this current environment. ",['No ttp provided'],TEMP.Isotope
" Mandiant Threat Intelligence mapped out the tactics, techniques, and procedures (TTPs) of Russian threat actors APT28, APT29, Turla, Sandworm, TEMP.Armageddon, TEMP.Isotope, and TEMP.Veles to the MITRE ATT CK framework based on activity observed by FireEye devices, Mandiant Incident Response, Managed Defense, and research. Based on current observations, Turla has demonstrated the broadest portfolio of tactics, followed by APT28, and APT29. We observed Russian state-sponsored actors use many defense evasion tactics as well as command and control (C C), discovery and persistence, though this distribution is likely at least partially influenced by the overall quantity of tactics in each category. ","['Social Engineering', 'Malware Propagation and Deployment', 'Domain Registration_DNS Abuse and Manipulation', 'Network Reconnaissance', 'Hardware_Supply Chain Compromise']",TEMP.Isotope
